moon,ingress_jd,ingress_cal,egress_jd,egress_cal,duration_min,mid_jd,earth_moon_au,light_travel_min,ingress_prec_s,egress_prec_s
ganymede,2458062.637848095,A.D. 2017-11-05 03:18:30.08 TDB,2458062.727924539,A.D. 2017-11-05 05:28:12.68 TDB,129.7101,2458062.682886317,6.42893274,53.467803,0.0086,0.0086
ganymede,2458069.803355644,A.D. 2017-11-12 07:16:49.93 TDB,2458069.892993452,A.D. 2017-11-12 09:25:54.63 TDB,129.0784,2458069.848174549,6.40611732,53.278053,0.0086,0.0086
ganymede,2458076.968653364,A.D. 2017-11-19 11:14:51.65 TDB,2458077.057913287,A.D. 2017-11-19 13:23:23.71 TDB,128.5343,2458077.013283325,6.37230968,52.996884,0.0086,0.0086
ganymede,2458084.133873604,A.D. 2017-11-26 15:12:46.68 TDB,2458084.222692048,A.D. 2017-11-26 17:20:40.59 TDB,127.8986,2458084.178282826,6.32771219,52.625978,0.0086,0.0086
ganymede,2458091.299172256,A.D. 2017-12-03 19:10:48.48 TDB,2458091.387615012,A.D. 2017-12-03 21:18:09.94 TDB,127.3576,2458091.343393634,6.27272823,52.168690,0.0086,0.0086
ganymede,2458098.464849670,A.D. 2017-12-10 23:09:23.01 TDB,2458098.552883721,A.D. 2017-12-11 01:16:09.15 TDB,126.7690,2458098.508866696,6.20781891,51.628856,0.0086,0.0086
ganymede,2458105.630695860,A.D. 2017-12-18 03:08:12.12 TDB,2458105.718364609,A.D. 2017-12-18 05:14:26.70 TDB,126.2430,2458105.674530235,6.13342667,51.010154,0.0086,0.0086
ganymede,2458112.796388657,A.D. 2017-12-25 07:06:47.98 TDB,2458112.883717966,A.D. 2017-12-25 09:12:33.23 TDB,125.7542,2458112.840053312,6.05020865,50.318051,0.0086,0.0086
ganymede,2458119.961799085,A.D. 2018-01-01 11:04:59.44 TDB,2458120.048775232,A.D. 2018-01-01 13:10:14.18 TDB,125.2457,2458120.005287159,5.95902948,49.559737,0.0086,0.0086
ganymede,2458127.127011428,A.D. 2018-01-08 15:02:53.79 TDB,2458127.213697958,A.D. 2018-01-08 17:07:43.50 TDB,124.8286,2458127.170354693,5.86078454,48.742659,0.0086,0.0086
ganymede,2458134.292181537,A.D. 2018-01-15 19:00:44.48 TDB,2458134.378511783,A.D. 2018-01-15 21:05:03.42 TDB,124.3156,2458134.335346660,5.75637996,47.874352,0.0086,0.0086
ganymede,2458141.457444971,A.D. 2018-01-22 22:58:43.25 TDB,2458141.543486279,A.D. 2018-01-23 01:02:37.21 TDB,123.8995,2458141.500465625,5.64694439,46.964204,0.0086,0.0086
ganymede,2458148.623087798,A.D. 2018-01-30 02:57:14.79 TDB,2458148.708810873,A.D. 2018-01-30 05:00:41.26 TDB,123.4412,2458148.665949336,5.53379852,46.023199,0.0086,0.0086
ganymede,2458155.788898890,A.D. 2018-02-06 06:56:00.86 TDB,2458155.874348745,A.D. 2018-02-06 08:59:03.73 TDB,123.0478,2458155.831623817,5.41826821,45.062363,0.0086,0.0086
ganymede,2458162.954550138,A.D. 2018-02-13 10:54:33.13 TDB,2458163.039757540,A.D. 2018-02-13 12:57:15.05 TDB,122.6987,2458162.997153839,5.30170475,44.092934,0.0086,0.0086
ganymede,2458170.119916070,A.D. 2018-02-20 14:52:40.75 TDB,2458170.204866780,A.D. 2018-02-20 16:55:00.49 TDB,122.3290,2458170.162391425,5.18568124,43.127996,0.0086,0.0086
ganymede,2458177.285098406,A.D. 2018-02-27 18:50:32.50 TDB,2458177.369859006,A.D. 2018-02-27 20:52:35.82 TDB,122.0553,2458177.327478706,5.07189488,42.181664,0.0086,0.0086
ganymede,2458184.450275737,A.D. 2018-03-06 22:48:23.82 TDB,2458184.534778163,A.D. 2018-03-07 00:50:04.83 TDB,121.6835,2458184.492526950,4.96197462,41.267485,0.0086,0.0086
ganymede,2458191.615562860,A.D. 2018-03-14 02:46:24.63 TDB,2458191.699876420,A.D. 2018-03-14 04:47:49.32 TDB,121.4115,2458191.657719640,4.85753638,40.398898,0.0086,0.0086
ganymede,2458198.781229567,A.D. 2018-03-21 06:44:58.23 TDB,2458198.865329555,A.D. 2018-03-21 08:46:04.47 TDB,121.1040,2458198.823279561,4.76034444,39.590578,0.0086,0.0086
ganymede,2458205.947063083,A.D. 2018-03-28 10:43:46.25 TDB,2458206.030996004,A.D. 2018-03-28 12:44:38.05 TDB,120.8634,2458205.989029543,4.67215085,38.857094,0.0086,0.0086
ganymede,2458213.112732416,A.D. 2018-04-04 14:42:20.08 TDB,2458213.196533707,A.D. 2018-04-04 16:43:00.51 TDB,120.6739,2458213.154633061,4.59447669,38.211097,0.0086,0.0086
ganymede,2458220.278114924,A.D. 2018-04-11 18:40:29.13 TDB,2458220.361769627,A.D. 2018-04-11 20:40:56.90 TDB,120.4628,2458220.319942276,4.52871816,37.664200,0.0086,0.0086
ganymede,2458227.443328274,A.D. 2018-04-18 22:38:23.56 TDB,2458227.526905814,A.D. 2018-04-19 00:38:44.66 TDB,120.3517,2458227.485117044,4.47621348,37.227532,0.0086,0.0086
ganymede,2458234.608571103,A.D. 2018-04-26 02:36:20.54 TDB,2458234.692003331,A.D. 2018-04-26 04:36:29.09 TDB,120.1424,2458234.650287217,4.43804162,36.910067,0.0086,0.0086
ganymede,2458241.773936884,A.D. 2018-05-03 06:34:28.15 TDB,2458241.857294743,A.D. 2018-05-03 08:34:30.27 TDB,120.0353,2458241.815615814,4.41483235,36.717041,0.0086,0.0086
ganymede,2458248.939675483,A.D. 2018-05-10 10:33:07.96 TDB,2458249.022939175,A.D. 2018-05-10 12:33:01.94 TDB,119.8997,2458248.981307329,4.40696496,36.651610,0.0086,0.0086
ganymede,2458256.105572936,A.D. 2018-05-17 14:32:01.50 TDB,2458256.188789725,A.D. 2018-05-17 16:31:51.43 TDB,119.8322,2458256.147181330,4.41458906,36.715018,0.0086,0.0086
ganymede,2458263.271298725,A.D. 2018-05-24 18:30:40.21 TDB,2458263.354507760,A.D. 2018-05-24 20:30:29.47 TDB,119.8210,2458263.312903242,4.43743739,36.905041,0.0086,0.0086
ganymede,2458270.436733289,A.D. 2018-05-31 22:28:53.76 TDB,2458270.519918022,A.D. 2018-06-01 00:28:40.92 TDB,119.7860,2458270.478325656,4.47479033,37.215696,0.0086,0.0086
ganymede,2458277.602010038,A.D. 2018-06-08 02:26:53.67 TDB,2458277.685241583,A.D. 2018-06-08 04:26:44.87 TDB,119.8534,2458277.643625811,4.52574984,37.639514,0.0086,0.0086
ganymede,2458284.767345594,A.D. 2018-06-15 06:24:58.66 TDB,2458284.850556352,A.D. 2018-06-15 08:24:48.07 TDB,119.8235,2458284.808950973,4.58926789,38.167777,0.0086,0.0086
ganymede,2458291.932811542,A.D. 2018-06-22 10:23:14.92 TDB,2458292.016072679,A.D. 2018-06-22 12:23:08.68 TDB,119.8960,2458291.974442110,4.66398771,38.789203,0.0086,0.0086
ganymede,2458299.098633696,A.D. 2018-06-29 14:22:01.95 TDB,2458299.181929421,A.D. 2018-06-29 16:21:58.70 TDB,119.9458,2458299.140281558,4.74834780,39.490804,0.0086,0.0086
ganymede,2458306.264598215,A.D. 2018-07-06 18:21:01.29 TDB,2458306.347974640,A.D. 2018-07-06 20:21:05.01 TDB,120.0621,2458306.306286428,4.84083566,40.260003,0.0086,0.0086
ganymede,2458313.430376200,A.D. 2018-07-13 22:19:44.50 TDB,2458313.513874187,A.D. 2018-07-14 00:19:58.73 TDB,120.2371,2458313.472125193,4.93994776,41.084293,0.0086,0.0086
ganymede,2458320.595851122,A.D. 2018-07-21 02:18:01.54 TDB,2458320.679451194,A.D. 2018-07-21 04:18:24.58 TDB,120.3841,2458320.637651158,5.04405049,41.950089,0.0086,0.0086
